기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022-04-20,4,두산,15,9,6,0,0.6,4.5,6승0무4패,1승,4-0-4,5-0-2
2022-04-20,5,롯데,15,8,7,0,0.533,5.5,5승0무5패,1승,4-0-4,4-0-3
2022-04-20,6,KIA,15,7,8,0,0.467,6.5,4승0무6패,1패,5-0-4,2-0-4
2022-04-20,7,삼성,16,6,10,0,0.375,8.0,3승0무7패,5패,3-0-3,3-0-7
2022-04-20,8,KT,15,5,10,0,0.333,8.5,4승0무6패,2승,1-0-6,4-0-4
2022-04-20,9,NC,16,5,11,0,0.313,9.0,3승0무7패,2승,4-0-6,1-0-5
2022-04-20,10,한화,16,4,12,0,0.25,10.0,4승0무6패,1패,3-0-3,1-0-9
2022-04-21,1,SSG,17,15,2,0,0.882,0.0,8승0무2패,2승,8-0-1,7-0-1
2022-04-21,2,두산,16,10,6,0,0.625,4.5,6승0무4패,2승,4-0-4,6-0-2
2022-04-21,3,LG,17,10,7,0,0.588,5.0,4승0무6패,3패,3-0-6,7-0-1
2022-04-21,3,키움,17,10,7,0,0.588,5.0,7승0무3패,2패,4-0-4,6-0-3
2022-04-21,5,롯데,16,8,8,0,0.5,6.5,5승0무5패,1패,4-0-5,4-0-3
2022-04-21,6,KIA,16,7,9,0,0.438,7.5,4승0무6패,2패,5-0-5,2-0-4
2022-04-21,7,삼성,17,7,10,0,0.412,8.0,4승0무6패,1승,3-0-3,4-0-7
2022-04-21,8,KT,16,6,10,0,0.375,8.5,4승0무6패,3승,1-0-6,5-0-4
2022-04-21,9,NC,17,5,12,0,0.294,10.0,3승0무7패,1패,4-0-7,1-0-5
2022-04-21,9,한화,17,5,12,0,0.294,10.0,4승0무6패,1승,3-0-3,2-0-9
2022-04-22,1,SSG,18,15,3,0,0.833,0.0,7승0무3패,1패,8-0-1,7-0-2
2022-04-22,2,LG,18,11,7,0,0.611,4.0,4승0무6패,1승,3-0-6,8-0-1
2022-04-22,3,두산,17,10,7,0,0.588,4.5,6승0무4패,1패,4-0-5,6-0-2
2022-04-22,4,키움,18,10,8,0,0.556,5.0,6승0무4패,3패,4-0-5,6-0-3
2022-04-22,5,롯데,17,9,8,0,0.529,5.5,5승0무5패,1승,4-0-5,5-0-3
2022-04-22,6,KIA,17,8,9,0,0.471,6.5,5승0무5패,1승,5-0-5,3-0-4
2022-04-22,7,KT,17,7,10,0,0.412,7.5,5승0무5패,4승,2-0-6,5-0-4
2022-04-22,8,삼성,18,7,11,0,0.389,8.0,4승0무6패,1패,3-0-4,4-0-7
2022-04-22,9,한화,18,6,12,0,0.333,9.0,4승0무6패,2승,4-0-3,2-0-9
2022-04-22,10,NC,18,5,13,0,0.278,10.0,3승0무7패,2패,4-0-7,1-0-6
2022-04-23,1,SSG,19,15,4,0,0.789,0.0,6승0무4패,2패,8-0-1,7-0-3
2022-04-23,2,두산,18,11,7,0,0.611,3.5,6승0무4패,1승,5-0-5,6-0-2
2022-04-23,3,LG,19,11,8,0,0.579,4.0,4승0무6패,1패,3-0-6,8-0-2
2022-04-23,3,키움,19,11,8,0,0.579,4.0,6승0무4패,1승,5-0-5,6-0-3
2022-04-23,5,롯데,18,10,8,0,0.556,4.5,6승0무4패,2승,4-0-5,6-0-3
2022-04-23,6,KT,18,8,10,0,0.444,6.5,6승0무4패,5승,3-0-6,5-0-4
2022-04-23,6,KIA,18,8,10,0,0.444,6.5,5승0무5패,1패,5-0-5,3-0-5
2022-04-23,8,삼성,19,7,12,0,0.368,8.0,3승0무7패,2패,3-0-5,4-0-7
2022-04-23,8,한화,19,7,12,0,0.368,8.0,5승0무5패,3승,5-0-3,2-0-9
2022-04-23,10,NC,19,5,14,0,0.263,10.0,3승0무7패,3패,4-0-7,1-0-7
2022-04-24,1,SSG,20,16,4,0,0.8,0.0,6승0무4패,1승,8-0-1,8-0-3
2022-04-24,2,LG,20,12,8,0,0.6,4.0,5승0무5패,1승,3-0-6,9-0-2
2022-04-24,3,두산,19,11,8,0,0.579,4.5,5승0무5패,1패,5-0-6,6-0-2
2022-04-24,3,롯데,19,11,8,0,0.579,4.5,7승0무3패,3승,4-0-5,7-0-3
2022-04-24,5,키움,20,11,9,0,0.55,5.0,5승0무5패,1패,5-0-6,6-0-3
2022-04-24,6,KIA,19,9,10,0,0.474,6.5,5승0무5패,1승,5-0-5,4-0-5
2022-04-24,7,KT,19,8,11,0,0.421,7.5,6승0무4패,1패,3-0-7,5-0-4
2022-04-24,8,삼성,20,7,13,0,0.35,9.0,2승0무8패,3패,3-0-6,4-0-7
2022-04-24,8,한화,20,7,13,0,0.35,9.0,5승0무5패,1패,5-0-4,2-0-9
2022-04-24,10,NC,20,6,14,0,0.3,10.0,4승0무6패,1승,4-0-7,2-0-7
2022-04-26,1,SSG,21,17,4,0,0.81,0.0,7승0무3패,2승,8-0-1,9-0-3
2022-04-26,2,두산,20,12,8,0,0.6,4.5,5승0무5패,1승,6-0-6,6-0-2
2022-04-26,3,LG,21,12,9,0,0.571,5.0,4승0무6패,1패,3-0-6,9-0-3
