YEAR,PLAYER_ID,PLAYER_NAME,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,LOB%,ERA,FIP,E-F
2022,50449,허윤동,5.89,556.00%,106.00%,131.00%,13.60%,12.90%,0.80%,1.78,0.311,65.70%,6.55,6.05,0.49
2022,61643,홍건희,8.71,305.00%,286.00%,73.00%,22.60%,7.90%,14.70%,1.27,0.299,68.90%,3.48,3.52,-0.03
2022,50441,황동재,7.19,421.00%,171.00%,122.00%,17.00%,9.90%,7.10%,1.84,0.374,58.50%,7.06,4.86,2.2
2023,64001,고영표,5.87,0.98,6,0.36,16.10%,2.70%,13.50%,1.15,0.312,76.30%,2.78,3.1,-0.31
2023,72523,고효준,10.24,6.52,1.57,0.47,25.20%,16.00%,9.20%,1.57,0.311,70.20%,4.5,4.12,0.38
2023,68220,곽빈,7.49,4.1,1.83,0.49,20.20%,11.00%,9.10%,1.21,0.254,77.10%,2.9,3.93,-1.04
2023,63543,구승민,9.33,4.1,2.28,0.57,22.80%,10.00%,12.80%,1.48,0.33,71.70%,3.96,3.75,0.21
2023,65933,구창모,9.75,2.79,3.5,0.7,27.30%,7.80%,19.50%,1.05,0.264,72.30%,2.96,3.17,-0.21
2023,77829,김광현,6.36,3.74,1.7,0.59,16.70%,9.80%,6.90%,1.38,0.297,72.90%,3.53,4.12,-0.59
2023,51715,김기중,7.35,4.63,1.59,0.64,18.20%,11.50%,6.70%,1.54,0.327,69.70%,4.63,4.71,-0.08
2023,62360,김대우,6.89,3.09,2.23,0.98,17.70%,7.90%,9.70%,1.38,0.301,66.50%,4.5,4.46,0.04
2023,51230,김동주,6.78,4.02,1.69,0.57,17.70%,10.50%,7.20%,1.38,0.294,71.40%,4.14,4.22,-0.08
