YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2023,62884,최항,SSG,0.286,21,35,28,3,8,1,0,1,12,6,1,1
2023,51817,추신수,SSG,0.254,112,462,382,65,97,17,1,12,152,41,0,2
2023,69813,하재훈,SSG,0.303,77,229,201,35,61,10,1,7,94,35,2,2
2023,62895,한유섬,SSG,0.273,109,388,333,29,91,15,2,7,131,55,2,7
2024,63123,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4
2024,50203,권휘,두산,0,1,1,1,0,0,0,0,0,0,0,0,0
2024,77263,김강률,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2024,66112,김기연,두산,0.278,95,283,252,31,70,10,0,5,95,31,4,3
2024,69238,김대한,두산,0.133,61,89,75,10,10,1,0,1,14,7,2,2
2024,51230,김동주,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2024,67246,김명신,두산,,3,0,0,0,0,0,0,0,0,0,0,0
2024,68200,김민규,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2024,65269,김민혁,두산,0.2,5,8,5,1,1,0,0,1,4,2,0,0
2024,63257,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1
2024,74206,김재호,두산,0.302,57,154,126,20,38,5,0,1,46,11,7,1
2024,78224,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9
2024,69207,김태근,두산,0.087,43,27,23,7,2,0,0,0,2,1,1,0
2024,54263,김택연,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2024,68269,김호준,두산,,2,0,0,0,0,0,0,0,0,0,0,0
2024,52025,라모스,두산,0.305,80,348,311,43,95,19,3,10,150,48,1,6
2024,54219,류현준,두산,0.667,2,3,3,0,2,1,0,0,3,1,0,0
2024,64468,박계범,두산,0.2,24,20,15,5,3,1,0,0,4,0,0,0
2024,53204,박민준,두산,0,5,5,5,0,0,0,0,0,0,0,0,0
2024,65639,박정수,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2024,66928,박준영,두산,0.226,65,212,186,25,42,9,2,7,76,28,1,1
2024,67266,박치국,두산,,3,0,0,0,0,0,0,0,0,0,0,0
2024,66203,서예일,두산,0.222,24,20,18,2,4,0,0,0,4,1,0,0
2024,64011,안승한,두산,0.2,4,5,5,0,1,0,0,0,1,0,0,0
2024,64153,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3
2024,76232,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6
2024,50293,양찬열,두산,0.125,11,12,8,2,1,0,0,0,1,1,0,0
2024,54205,여동건,두산,0.4,9,11,10,2,4,0,0,0,4,0,0,0
