game_id,player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
20250709OBLT0,65522,2025-07-09,두산,구원,홀,0.00,2,1/3,0,0,1,0,0,0,0,3.68
20250701OBLT0,65522,2025-07-01,두산,구원,,0.00,6,1 1/3,1,0,1,1,0,0,0,3.57
20250719LGLT0,65522,2025-07-19,LG,구원,,0.00,5,1 2/3,0,0,0,0,0,0,0,3.45
20250722WOLT0,65522,2025-07-22,키움,구원,,0.00,5,1 1/3,1,0,0,0,0,0,0,3.35
20250726HTLT0,65522,2025-07-26,KIA,구원,홀,0.00,6,1 2/3,1,0,0,0,2,0,0,3.24
20250703NCLT0,65522,2025-07-03,NC,구원,,5.40,7,1 2/3,3,0,0,0,1,1,1,3.31
20250731NCLT0,65522,2025-07-31,NC,구원,,27.00,4,1/3,3,0,0,0,0,1,1,3.46
20250803WOLT0,65522,2025-08-03,키움,구원,,0.00,3,1,0,0,0,0,1,0,0,3.4
20250807HTLT0,65522,2025-08-07,KIA,구원,,0.00,6,1 1/3,2,0,0,0,0,0,0,3.31
20250801SKLT0,65522,2025-08-01,SSG,구원,,0.00,4,1,1,0,0,0,1,0,0,3.25
20250812HHLT0,65522,2025-08-12,한화,구원,,0.00,3,2/3,0,0,0,0,0,0,0,3.21
20250814HHLT0,65522,2025-08-14,한화,구원,,0.00,2,1/3,0,0,1,0,0,0,0,3.2
20250815SSLT0,65522,2025-08-15,삼성,구원,,6.00,11,3,2,2,0,0,1,2,2,3.34
20250819LGLT0,65522,2025-08-19,LG,구원,,27.00,4,2/3,2,1,0,0,0,2,2,3.6
20250821LGLT0,65522,2025-08-21,LG,구원,,0.00,1,1/3,0,0,0,0,0,0,0,3.58
20250822NCLT0,65522,2025-08-22,NC,구원,,0.00,4,1,1,0,0,0,0,0,0,3.52
20250823NCLT0,65522,2025-08-23,NC,구원,,0.00,4,1 1/3,1,0,0,1,0,0,0,3.45
20250827KTLT0,65522,2025-08-27,KT,구원,,0.00,5,1 2/3,0,0,0,0,0,0,0,3.36
20250829OBLT0,65522,2025-08-29,두산,구원,,9.00,8,2,3,0,0,0,0,2,2,3.53
20250803OBLT0,65522,2025-08-03,두산,구원,,0.00,4,1,1,0,0,0,1,0,0,3.48
20250902LGLT0,65522,2025-09-02,LG,구원,,0.00,1,1/3,0,0,0,0,0,0,0,3.46
20250905SKLT0,65522,2025-09-05,SSG,구원,,0.00,4,1,1,0,0,0,1,0,0,3.41
20250909HHLT0,65522,2025-09-09,한화,구원,,27.00,6,2/3,3,1,1,0,0,2,2,3.63
20250916SSLT0,65522,2025-09-16,삼성,구원,,0.00,2,1/3,0,0,0,1,0,0,0,3.62
20250919NCLT0,65522,2025-09-19,NC,구원,,0.00,3,1,1,0,0,0,0,0,0,3.57
20250924SSLT0,65522,2025-09-24,삼성,구원,,27.00,10,1 1/3,4,1,2,0,0,4,4,4.0
20250411SKHT0,76225,2025-04-11,SSG,구원,,3.38,14,2 2/3,4,0,3,0,0,1,1,3.38
20250416KTHT0,76225,2025-04-16,KT,구원,,0.00,5,1 2/3,0,0,0,0,2,0,0,2.08
20250418OBHT0,76225,2025-04-18,두산,구원,,0.00,9,2,0,0,2,1,1,0,0,1.42
20250424SSHT0,76225,2025-04-24,삼성,구원,,162.00,7,1/3,5,1,1,0,0,6,6,9.45
20250426LGHT0,76225,2025-04-26,LG,구원,,13.50,4,2/3,2,0,0,0,1,1,1,9.82
20250505WOHT0,76225,2025-05-05,키움,구원,,0.00,7,2,1,0,0,0,2,0,0,7.71
20250507WOHT0,76225,2025-05-07,키움,구원,,81.00,4,1/3,3,1,0,0,0,3,3,10.24
20250511SKHT0,76225,2025-05-11,SSG,구원,,9.00,5,1,1,0,1,0,1,1,1,10.13
20250511SKHT0,76225,2025-05-11,SSG,구원,,0.00,3,1,0,0,0,0,0,0,0,9.26
20250514LTHT0,76225,2025-05-14,롯데,구원,,0.00,10,2,2,0,2,0,3,0,0,7.9
20250518OBHT0,76225,2025-05-18,두산,구원,,0.00,2,2/3,0,0,0,0,1,0,0,7.53
20250626WOHT0,76225,2025-06-26,키움,선발,,3.00,11,3,2,0,0,0,3,1,1,6.75
20250701SKHT0,76225,2025-07-01,SSG,선발,,4.15,19,4 1/3,4,1,1,1,2,2,2,6.23
